feature_name,mean_abs_shap
cat__cpu_5th Gen AMD Ryzen 5  5600H ,0.0
cat__cpu_5th Gen AMD Ryzen 5 5500H,0.0
cat__cpu_5th Gen AMD Ryzen 5 5500U,0.0
cat__cpu_5th Gen AMD Ryzen 5 5600H,0.0
cat__cpu_5th Gen AMD Ryzen 5 5600H ,0.0
cat__cpu_5th Gen AMD Ryzen 5 5600HS,0.0
cat__cpu_5th Gen AMD Ryzen 7   5700U,0.0
cat__cpu_7th Gen AMD Ryzen 7 7840U,0.0
cat__cpu_7th Gen AMD Ryzen 9 7940HS,0.0
cat__cpu_13th Gen Intel Core i9 13900HX,0.0
cat__cpu_AMD A9-Series A9-9420 3.0GHz,0.0
cat__cpu_AMD Athlon Silver 7120U,0.0
cat__cpu_AMD E-Series 6110 1.5GHz,0.0
cat__cpu_AMD E-Series 7110 1.8GHz,0.0
cat__cpu_AMD E-Series 9000 2.2GHz,0.0
cat__cpu_AMD E-Series 9000e 1.5GHz,0.0
cat__cpu_AMD E-Series E2-6110 1.5GHz,0.0
cat__cpu_AMD E-Series E2-9000 2.2GHz,0.0
cat__cpu_AMD E-Series E2-9000e 1.5GHz,0.0
cat__cpu_AMD FX 8800P 2.1GHz,0.0
cat__cpu_AMD FX 9830P 3.0GHz,0.0
cat__cpu_AMD Ryzen 1600 3.2GHz,0.0
cat__cpu_AMD Ryzen 1700 3.0GHz,0.0
cat__cpu_Apple M1,0.0
cat__cpu_Apple M2,0.0
cat__cpu_Apple M3,0.0
cat__cpu_Apple M3 Max,0.0
cat__cpu_Apple M3 Pro,0.0
cat__cpu_Custom 1.51GHz,0.0
cat__cpu_Custom 1.52GHz,0.0
cat__cpu_Custom 1.53GHz,0.0
cat__cpu_Custom 1.54GHz,0.0
cat__cpu_Custom 1.55GHz,0.0
cat__cpu_Custom 1.56GHz,0.0
cat__cpu_AMD Athlon 7120U,0.0
cat__cpu_AMD A9-Series 9420 3.0GHz,0.0
cat__cpu_7th Gen Amd Ryzen 5 7520U,0.0
